comparison,stim1_dots2,stim2_color1,stim1_dots3,stim2_color3,stim1_dots1,stim2_dots1,stim2_color2,stim1_color1,stim1_color2,stim1_color3,participant,test,stim2_dots3,stim2_dots2,correct,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,stim_response,date,Unnamed: 24
4,8,orange,3,blue,5,9,brown,orange,brown,blue,100,dots,4,2,Right,0,0,0,0,0,2.80731523188,Right,2016_Jul_11_1540,
10,9,purple,7,darkgrey,6,6,red,yellow,pink,brown,100,colours,7,9,Left,0,1,1,1,1,0.0376537841512,Left,2016_Jul_11_1540,
5,2,pink,4,yellow,1,5,green,pink,green,yellow,100,dots,3,7,Right,0,2,2,2,0,0.989292875805,Right,2016_Jul_11_1540,
1,8,pink,6,blue,1,9,green,pink,green,blue,100,dots,4,7,Left,0,3,3,3,1,2.92516906181,Left,2016_Jul_11_1540,
5,2,orange,4,yellow,1,5,darkgrey,orange,darkgrey,yellow,100,dots,3,7,Right,0,4,4,4,0,0.782725763158,Right,2016_Jul_11_1540,
3,7,red,3,blue,1,9,green,red,green,blue,100,dots,4,2,Right,0,5,5,5,1,1.43344096502,Left,2016_Jul_11_1540,
11,1,purple,7,darkgrey,4,4,orange,blue,pink,green,100,colours,7,1,Right,0,6,6,6,0,0.276635974995,Right,2016_Jul_11_1540,
6,7,red,3,yellow,5,9,brown,red,brown,yellow,100,dots,4,8,Left,0,7,7,7,1,0.354151919775,Left,2016_Jul_11_1540,
3,7,pink,3,blue,1,9,darkgrey,pink,darkgrey,blue,100,dots,4,2,Right,0,8,8,8,0,1.87328851584,Right,2016_Jul_11_1540,
4,2,pink,4,blue,9,5,brown,pink,brown,blue,100,dots,3,8,Left,0,9,9,9,0,0.1840308666,Right,2016_Jul_11_1540,
2,8,pink,6,yellow,1,5,darkgrey,pink,darkgrey,yellow,100,dots,3,2,Left,0,10,10,10,1,0.705334786675,Left,2016_Jul_11_1540,
8,1,purple,8,brown,6,6,pink,blue,red,green,100,colours,8,1,Left,0,11,11,11,0,0.187189182907,Right,2016_Jul_11_1540,
12,1,purple,2,darkgrey,3,3,orange,yellow,red,brown,100,colours,2,1,Right,0,12,12,12,0,0.0863059833064,Right,2016_Jul_11_1540,
12,5,yellow,8,brown,4,4,red,purple,orange,darkgrey,100,colours,8,5,Left,0,13,13,13,0,1.07055152964,Right,2016_Jul_11_1540,
8,5,blue,7,green,4,4,red,purple,pink,brown,100,colours,7,5,Right,0,14,14,14,1,1.40615350992,Left,2016_Jul_11_1540,
11,9,blue,2,green,6,6,pink,purple,orange,darkgrey,100,colours,2,9,Left,0,15,15,15,1,0.682426654326,Left,2016_Jul_11_1540,
7,5,blue,7,green,6,6,red,yellow,orange,darkgrey,100,colours,7,5,Right,0,16,16,16,1,1.28199421585,Left,2016_Jul_11_1540,
6,7,pink,3,yellow,5,9,brown,pink,brown,yellow,100,dots,4,8,Left,0,17,17,17,1,0.329589014407,Left,2016_Jul_11_1540,
1,8,red,6,yellow,1,9,brown,red,brown,yellow,100,dots,4,7,Left,0,18,18,18,1,1.73625356605,Left,2016_Jul_11_1540,
7,5,yellow,2,darkgrey,6,6,orange,blue,red,green,100,colours,2,5,Left,0,19,19,19,0,0.0906267460668,Right,2016_Jul_11_1540,
9,5,yellow,8,brown,3,3,pink,blue,orange,green,100,colours,8,5,Right,0,20,20,20,0,0.528547853639,Right,2016_Jul_11_1540,
9,5,yellow,2,brown,6,6,pink,blue,orange,green,100,colours,2,5,Right,0,21,21,21,1,0.583716212132,Left,2016_Jul_11_1540,
2,8,pink,6,yellow,1,5,green,pink,green,yellow,100,dots,3,2,Left,0,22,22,22,1,0.36529673473,Left,2016_Jul_11_1540,
10,5,yellow,7,brown,4,4,pink,purple,red,darkgrey,100,colours,7,5,Right,0,23,23,23,0,0.765630768263,Right,2016_Jul_11_1540,
13,6,brown,1,pink,8,1,yellow,yellow,pink,brown,100,dual,6,8,Left,0,24,24,24,0,2.6159224062,Right,2016_Jul_11_1540,
13,8,blue,6,green,1,8,red,green,red,blue,100,dual,1,6,Right,0,25,25,25,0,0.0971374720102,Right,2016_Jul_11_1540,
14,2,blue,4,green,9,2,red,green,red,blue,100,dual,9,4,Right,0,26,26,26,1,1.08179112733,Left,2016_Jul_11_1540,
14,6,darkgrey,1,orange,8,1,purple,purple,orange,darkgrey,100,dual,6,8,Left,0,27,27,27,0,0.1561910155,Right,2016_Jul_11_1540,
15,2,yellow,4,brown,9,2,pink,brown,yellow,pink,100,dual,9,4,Right,0,28,28,28,0,1.5108992554,Right,2016_Jul_11_1540,
15,2,purple,4,darkgrey,9,2,orange,darkgrey,purple,orange,100,dual,9,4,Right,0,29,29,29,1,0.00409829511773,Left,2016_Jul_11_1540,
16,3,green,5,blue,7,5,red,blue,red,green,100,dual,3,7,Left,0,30,30,30,0,3.89834223856,Right,2016_Jul_11_1540,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,100,dual,5,3,Right,0,31,31,31,1,0.689580031147,Left,2016_Jul_11_1540,
17,3,darkgrey,5,orange,7,5,purple,purple,orange,darkgrey,100,dual,3,7,Left,0,32,32,32,1,0.0442508408451,Left,2016_Jul_11_1540,
4,2,orange,4,yellow,9,5,green,orange,green,yellow,101,dots,3,8,Left,0,0,0,0,1,0.0476162303239,Left,2016_Jul_11_1528,
7,5,blue,7,green,3,3,red,yellow,orange,darkgrey,101,colours,7,5,Right,0,1,1,1,0,0.0395548715023,Right,2016_Jul_11_1528,
3,2,pink,4,blue,9,1,brown,pink,brown,blue,101,dots,3,7,Left,0,2,2,2,1,0.65509029862,Left,2016_Jul_11_1528,
9,5,yellow,2,brown,4,4,pink,blue,orange,green,101,colours,2,5,Right,0,3,3,3,0,0.0228187830071,Right,2016_Jul_11_1528,
11,9,blue,7,green,3,3,pink,purple,orange,darkgrey,101,colours,7,9,Left,0,4,4,4,0,0.029877679015,Right,2016_Jul_11_1528,
7,9,yellow,2,darkgrey,3,3,orange,blue,red,green,101,colours,2,9,Left,0,5,5,5,1,0.164967470511,Left,2016_Jul_11_1528,
3,2,red,4,purple,9,1,darkgrey,red,darkgrey,purple,101,dots,3,7,Left,0,6,6,6,0,0.285720926535,Right,2016_Jul_11_1528,
5,7,orange,3,blue,5,1,green,orange,green,blue,101,dots,4,2,Left,0,7,7,7,1,0.173276351008,Left,2016_Jul_11_1528,
11,5,blue,7,green,6,6,pink,purple,orange,darkgrey,101,colours,7,5,Left,0,8,8,8,0,0.216042665474,Right,2016_Jul_11_1528,
8,5,blue,2,green,3,3,red,purple,pink,brown,101,colours,2,5,Right,0,9,9,9,0,0.851900528884,Right,2016_Jul_11_1528,
1,7,orange,4,purple,9,1,green,orange,green,purple,101,dots,6,8,Right,0,10,10,10,0,0.128324601159,Right,2016_Jul_11_1528,
5,7,pink,3,yellow,5,1,darkgrey,pink,darkgrey,yellow,101,dots,4,2,Left,0,11,11,11,0,0.21826130501,Right,2016_Jul_11_1528,
8,1,purple,8,brown,4,4,pink,blue,red,green,101,colours,8,1,Left,0,12,12,12,1,0.246626988694,Left,2016_Jul_11_1528,
4,8,red,3,blue,5,9,darkgrey,red,darkgrey,blue,101,dots,4,2,Right,0,13,13,13,1,0.307364585286,Left,2016_Jul_11_1528,
2,2,red,3,yellow,5,1,darkgrey,red,darkgrey,yellow,101,dots,6,8,Right,0,14,14,14,0,0.22573374334,Right,2016_Jul_11_1528,
10,1,yellow,2,brown,6,6,pink,purple,red,darkgrey,101,colours,2,1,Right,0,15,15,15,0,0.0940558270086,Right,2016_Jul_11_1528,
12,9,purple,7,darkgrey,3,3,orange,yellow,red,brown,101,colours,7,9,Right,0,16,16,16,1,0.102801190864,Left,2016_Jul_11_1528,
6,7,orange,3,blue,5,9,green,orange,green,blue,101,dots,4,8,Left,0,17,17,17,0,0.703534217319,Right,2016_Jul_11_1528,
9,1,yellow,8,brown,4,4,pink,blue,orange,green,101,colours,8,1,Right,0,18,18,18,1,1.01438493421,Left,2016_Jul_11_1528,
2,2,orange,3,yellow,5,1,brown,orange,brown,yellow,101,dots,6,8,Right,0,19,19,19,0,0.118010191247,Right,2016_Jul_11_1528,
1,8,pink,6,yellow,1,9,green,pink,green,yellow,101,dots,4,7,Left,0,20,20,20,0,0.0658235635492,Right,2016_Jul_11_1528,
12,1,yellow,7,brown,4,4,red,purple,orange,darkgrey,101,colours,7,1,Left,0,21,21,21,1,0.218174370588,Left,2016_Jul_11_1528,
6,8,orange,4,purple,9,5,brown,orange,brown,purple,101,dots,3,7,Right,0,22,22,22,0,0.054118806147,Right,2016_Jul_11_1528,
10,1,yellow,7,brown,3,3,pink,purple,red,darkgrey,101,colours,7,1,Right,0,23,23,23,1,0.173635559331,Left,2016_Jul_11_1528,
13,6,green,1,blue,8,1,red,blue,red,green,101,dual,6,8,Left,0,24,24,24,0,0.408369432786,Right,2016_Jul_11_1528,
13,6,brown,1,pink,8,1,yellow,yellow,pink,brown,101,dual,6,8,Left,0,25,25,25,1,0.215846459323,Left,2016_Jul_11_1528,
14,4,green,9,blue,2,9,red,blue,red,green,101,dual,4,2,Left,0,26,26,26,0,0.100640809513,Right,2016_Jul_11_1528,
14,8,purple,6,darkgrey,1,8,orange,darkgrey,purple,orange,101,dual,1,6,Right,0,27,27,27,0,0.491400583356,Right,2016_Jul_11_1528,
15,2,yellow,4,brown,9,2,pink,brown,yellow,pink,101,dual,9,4,Right,0,28,28,28,1,0.207784496772,Left,2016_Jul_11_1528,
15,2,purple,4,darkgrey,9,2,orange,darkgrey,purple,orange,101,dual,9,4,Right,0,29,29,29,0,0.0273327334435,Right,2016_Jul_11_1528,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,101,dual,5,3,Right,0,30,30,30,0,0.146107223409,Right,2016_Jul_11_1528,
16,7,blue,3,green,5,7,red,green,red,blue,101,dual,5,3,Right,0,31,31,31,1,0.124030401697,Left,2016_Jul_11_1528,
17,7,purple,3,darkgrey,5,7,orange,darkgrey,purple,orange,101,dual,5,3,Right,0,32,32,32,0,0.485558165936,Right,2016_Jul_11_1528,
12,9,yellow,2,brown,6,6,red,purple,orange,darkgrey,102,colours,2,9,Left,0,0,0,0,1,0.155450865277,Left,2016_Jul_11_1558,
8,9,purple,2,brown,3,3,pink,blue,red,green,102,colours,2,9,Left,0,1,1,1,1,1.10971066827,Left,2016_Jul_11_1558,
9,5,blue,7,green,4,4,orange,yellow,pink,brown,102,colours,7,5,Left,0,2,2,2,0,0.439308134606,Right,2016_Jul_11_1558,
8,5,blue,8,green,4,4,red,purple,pink,brown,102,colours,8,5,Right,0,3,3,3,1,0.250018639606,Left,2016_Jul_11_1558,
2,8,orange,6,yellow,1,5,green,orange,green,yellow,102,dots,3,2,Left,0,4,4,4,0,0.454753488011,Right,2016_Jul_11_1558,
10,5,yellow,8,brown,6,6,pink,purple,red,darkgrey,102,colours,8,5,Right,0,5,5,5,1,0.425061752147,Left,2016_Jul_11_1558,
10,9,yellow,8,brown,3,3,pink,purple,red,darkgrey,102,colours,8,9,Right,0,6,6,6,1,0.266625835677,Left,2016_Jul_11_1558,
7,9,yellow,2,darkgrey,3,3,orange,blue,red,green,102,colours,2,9,Left,0,7,7,7,0,0.536229779827,Right,2016_Jul_11_1558,
1,7,red,4,yellow,9,1,brown,red,brown,yellow,102,dots,6,8,Right,0,8,8,8,0,0.140561530134,Right,2016_Jul_11_1558,
7,5,yellow,7,darkgrey,3,3,orange,blue,red,green,102,colours,7,5,Left,0,9,9,9,1,0.581092482258,Left,2016_Jul_11_1558,
3,7,red,3,yellow,1,9,darkgrey,red,darkgrey,yellow,102,dots,4,2,Right,0,10,10,10,0,0.0600650619599,Right,2016_Jul_11_1558,
9,1,yellow,7,brown,6,6,pink,blue,orange,green,102,colours,7,1,Right,0,11,11,11,0,2.547968345,Right,2016_Jul_11_1558,
12,5,purple,7,darkgrey,6,6,orange,yellow,red,brown,102,colours,7,5,Right,0,12,12,12,1,0.667569014069,Left,2016_Jul_11_1558,
3,7,orange,3,yellow,1,9,darkgrey,orange,darkgrey,yellow,102,dots,4,2,Right,0,13,13,13,1,0.611465808353,Left,2016_Jul_11_1558,
11,9,purple,7,darkgrey,6,6,orange,blue,pink,green,102,colours,7,9,Right,0,14,14,14,0,0.0874780890299,Right,2016_Jul_11_1558,
2,2,red,3,yellow,5,1,darkgrey,red,darkgrey,yellow,102,dots,6,8,Right,0,15,15,15,0,0.946094303974,Right,2016_Jul_11_1558,
4,2,pink,4,blue,9,5,darkgrey,pink,darkgrey,blue,102,dots,3,8,Left,0,16,16,16,1,1.13384705153,Left,2016_Jul_11_1558,
5,2,orange,4,blue,1,5,darkgrey,orange,darkgrey,blue,102,dots,3,7,Right,0,17,17,17,0,0.900046214112,Right,2016_Jul_11_1558,
1,7,orange,4,yellow,9,1,darkgrey,orange,darkgrey,yellow,102,dots,6,8,Right,0,18,18,18,0,0.961508868088,Right,2016_Jul_11_1558,
6,7,pink,3,blue,5,9,brown,pink,brown,blue,102,dots,4,8,Left,0,19,19,19,0,1.23274222942,Right,2016_Jul_11_1558,
6,7,orange,3,yellow,5,9,darkgrey,orange,darkgrey,yellow,102,dots,4,8,Left,0,20,20,20,0,0.775175747927,Right,2016_Jul_11_1558,
4,2,pink,4,yellow,9,5,green,pink,green,yellow,102,dots,3,8,Left,0,21,21,21,0,0.497425321664,Right,2016_Jul_11_1558,
11,5,purple,8,darkgrey,4,4,orange,blue,pink,green,102,colours,8,5,Right,0,22,22,22,0,0.0366000058712,Right,2016_Jul_11_1558,
5,2,pink,4,yellow,1,5,brown,pink,brown,yellow,102,dots,3,7,Right,0,23,23,23,1,0.380060497904,Left,2016_Jul_11_1558,
13,6,green,1,blue,8,1,red,blue,red,green,102,dual,6,8,Left,0,24,24,24,0,0.139238194679,Right,2016_Jul_11_1558,
13,8,yellow,6,brown,1,8,pink,brown,yellow,pink,102,dual,1,6,Right,0,25,25,25,1,0.182502571086,Left,2016_Jul_11_1558,
14,6,darkgrey,1,orange,8,1,purple,purple,orange,darkgrey,102,dual,6,8,Left,0,26,26,26,0,0.72164405114,Right,2016_Jul_11_1558,
14,2,blue,4,green,9,2,red,green,red,blue,102,dual,9,4,Right,0,27,27,27,0,0.551670001645,Right,2016_Jul_11_1558,
15,2,purple,4,darkgrey,9,2,orange,darkgrey,purple,orange,102,dual,9,4,Right,0,28,28,28,1,0.447048318922,Left,2016_Jul_11_1558,
15,4,brown,9,pink,2,9,yellow,yellow,pink,brown,102,dual,4,2,Left,0,29,29,29,0,0.158508965571,Right,2016_Jul_11_1558,
16,3,green,5,blue,7,5,red,blue,red,green,102,dual,3,7,Left,0,30,30,30,0,0.0433887409745,Right,2016_Jul_11_1558,
16,7,yellow,3,brown,5,7,pink,brown,yellow,pink,102,dual,5,3,Right,0,31,31,31,1,1.3148524182,Left,2016_Jul_11_1558,
17,7,purple,3,darkgrey,5,7,orange,darkgrey,purple,orange,102,dual,5,3,Right,0,32,32,32,0,0.442901726987,Right,2016_Jul_11_1558,
10,5,purple,2,darkgrey,3,3,red,yellow,pink,brown,110,colours,2,5,Left,0,0,0,0,0,1.18055105209,Right,2016_Aug_16_1429,
9,5,blue,7,green,4,4,orange,yellow,pink,brown,110,colours,7,5,Left,0,1,1,1,0,0.460715055466,Right,2016_Aug_16_1429,
6,8,red,4,yellow,9,5,darkgrey,red,darkgrey,yellow,110,dots,3,7,Right,0,2,2,2,1,0.594407081604,Left,2016_Aug_16_1429,
2,2,red,3,blue,5,1,brown,red,brown,blue,110,dots,6,8,Right,0,3,3,3,0,0.482378959656,Right,2016_Aug_16_1429,
6,8,pink,4,blue,9,5,green,pink,green,blue,110,dots,3,7,Right,0,4,4,4,1,0.407080888748,Left,2016_Aug_16_1429,
11,5,blue,2,green,6,6,pink,purple,orange,darkgrey,110,colours,2,5,Left,0,5,5,5,0,0.542947053909,Right,2016_Aug_16_1429,
7,5,yellow,2,darkgrey,4,4,orange,blue,red,green,110,colours,2,5,Left,0,6,6,6,0,0.417239904404,Right,2016_Aug_16_1429,
4,2,red,4,yellow,9,5,green,red,green,yellow,110,dots,3,8,Left,0,7,7,7,0,0.527807950974,Right,2016_Aug_16_1429,
1,8,red,6,purple,1,9,brown,red,brown,purple,110,dots,4,7,Left,0,8,8,8,0,0.323256015778,Right,2016_Aug_16_1429,
8,9,blue,8,green,3,3,red,purple,pink,brown,110,colours,8,9,Right,0,9,9,9,0,0.462604999542,Right,2016_Aug_16_1429,
9,1,yellow,8,brown,3,3,pink,blue,orange,green,110,colours,8,1,Right,0,10,10,10,1,0.396311044693,Left,2016_Aug_16_1429,
