dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
,Yellow,110,,,2016_Aug_16_1429,m,0
1.0,LightPink,110,m,0.207571983337,2016_Aug_16_1429,m,1
8.0,Brown,110,,,2016_Aug_16_1429,m,0
6.0,Purple,110,m,0.0558388233185,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.015771150589,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.360039949417,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.263623952866,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.239784955978,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.0478749275208,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.271757125854,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.247584819794,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.127810001373,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.295772790909,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.263965845108,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.11961889267,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.223788976669,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.287592172623,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.295804023743,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.279794216156,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.199526786804,2016_Aug_16_1429,m,1
,,110,m,0.239323139191,2016_Aug_16_1429,z,0
7.0,Green,110,m,0.495818853378,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.279742956161,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.047699213028,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.335466861725,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.271479129791,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.0797159671783,2016_Aug_16_1429,m,1
7.0,Brown,110,m,0.343686103821,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.247383117676,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.255681991577,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.271335840225,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.31934094429,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.263350009918,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.31965303421,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.263298988342,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.239451885223,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.239629030228,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.215301990509,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.0636270046234,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.0395140647888,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.247526884079,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.27929019928,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.295588970184,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.303600072861,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.231319904327,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.151197910309,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.279234886169,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.215362071991,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.247328996658,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.0951778888702,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.0715458393097,2016_Aug_16_1429,m,1
2.0,Brown,110,,,2016_Aug_16_1429,m,0
4.0,Purple,110,,,2016_Aug_16_1429,m,0
,,110,m,0.183400154114,2016_Aug_16_1429,z,0
1.0,Orange,110,m,0.359317064285,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.271224021912,2016_Aug_16_1429,m,1
