dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
nan,Yellow,110,0,0,0,0,,,2016_Aug_16_1429,
1.0,LightPink,110,0,1,1,1,m,0.207571983337,2016_Aug_16_1429,
8.0,Brown,110,0,2,2,2,,,2016_Aug_16_1429,
6.0,Purple,110,0,3,3,3,m,0.0558388233185,2016_Aug_16_1429,
5.0,Orange,110,0,4,4,4,m,0.015771150589,2016_Aug_16_1429,
7.0,DarkGray,110,0,5,5,5,m,0.360039949417,2016_Aug_16_1429,
3.0,Blue,110,0,6,6,6,m,0.263623952866,2016_Aug_16_1429,
9.0,Red,110,0,7,7,7,m,0.239784955978,2016_Aug_16_1429,
2.0,Green,110,0,8,8,8,m,0.0478749275208,2016_Aug_16_1429,
4.0,Purple,110,0,9,9,9,m,0.271757125854,2016_Aug_16_1429,
1.0,Orange,110,0,10,10,10,m,0.247584819794,2016_Aug_16_1429,
8.0,DarkGray,110,0,11,11,11,m,0.127810001373,2016_Aug_16_1429,
6.0,Blue,110,0,12,12,12,m,0.295772790909,2016_Aug_16_1429,
5.0,Red,110,0,13,13,13,m,0.263965845108,2016_Aug_16_1429,
7.0,Green,110,0,14,14,14,m,0.11961889267,2016_Aug_16_1429,
3.0,Yellow,110,0,15,15,15,m,0.223788976669,2016_Aug_16_1429,
9.0,LightPink,110,0,16,16,16,m,0.287592172623,2016_Aug_16_1429,
2.0,Brown,110,0,17,17,17,m,0.295804023743,2016_Aug_16_1429,
4.0,Blue,110,0,18,18,18,m,0.279794216156,2016_Aug_16_1429,
5.0,Red,110,0,19,19,19,m,0.199526786804,2016_Aug_16_1429,
nan,nan,110,0,20,20,20,m,0.239323139191,2016_Aug_16_1429,
7.0,Green,110,0,21,21,21,m,0.495818853378,2016_Aug_16_1429,
3.0,Purple,110,0,22,22,22,m,0.279742956161,2016_Aug_16_1429,
1.0,Orange,110,0,23,23,23,m,0.047699213028,2016_Aug_16_1429,
8.0,DarkGray,110,0,24,24,24,m,0.335466861725,2016_Aug_16_1429,
6.0,Yellow,110,0,25,25,25,m,0.271479129791,2016_Aug_16_1429,
5.0,LightPink,110,0,26,26,26,m,0.0797159671783,2016_Aug_16_1429,
7.0,Brown,110,0,27,27,27,m,0.343686103821,2016_Aug_16_1429,
3.0,Purple,110,0,28,28,28,m,0.247383117676,2016_Aug_16_1429,
1.0,Orange,110,0,29,29,29,m,0.255681991577,2016_Aug_16_1429,
8.0,DarkGray,110,0,30,30,30,m,0.271335840225,2016_Aug_16_1429,
6.0,Yellow,110,0,31,31,31,m,0.31934094429,2016_Aug_16_1429,
9.0,LightPink,110,0,32,32,32,m,0.263350009918,2016_Aug_16_1429,
2.0,Brown,110,0,33,33,33,m,0.31965303421,2016_Aug_16_1429,
4.0,Blue,110,0,34,34,34,m,0.263298988342,2016_Aug_16_1429,
1.0,Red,110,0,35,35,35,m,0.239451885223,2016_Aug_16_1429,
8.0,Green,110,0,36,36,36,m,0.239629030228,2016_Aug_16_1429,
6.0,Yellow,110,0,37,37,37,m,0.215301990509,2016_Aug_16_1429,
9.0,LightPink,110,0,38,38,38,m,0.0636270046234,2016_Aug_16_1429,
2.0,Brown,110,0,39,39,39,m,0.0395140647888,2016_Aug_16_1429,
4.0,Purple,110,0,40,40,40,m,0.247526884079,2016_Aug_16_1429,
5.0,Orange,110,0,41,41,41,m,0.27929019928,2016_Aug_16_1429,
7.0,DarkGray,110,0,42,42,42,m,0.295588970184,2016_Aug_16_1429,
3.0,Blue,110,0,43,43,43,m,0.303600072861,2016_Aug_16_1429,
9.0,Red,110,0,44,44,44,m,0.231319904327,2016_Aug_16_1429,
2.0,Green,110,0,45,45,45,m,0.151197910309,2016_Aug_16_1429,
4.0,Purple,110,0,46,46,46,m,0.279234886169,2016_Aug_16_1429,
5.0,Orange,110,0,47,47,47,m,0.215362071991,2016_Aug_16_1429,
7.0,DarkGray,110,0,48,48,48,m,0.247328996658,2016_Aug_16_1429,
3.0,Yellow,110,0,49,49,49,m,0.0951778888702,2016_Aug_16_1429,
9.0,LightPink,110,0,50,50,50,m,0.0715458393097,2016_Aug_16_1429,
2.0,Brown,110,0,51,51,51,,,2016_Aug_16_1429,
4.0,Purple,110,0,52,52,52,,,2016_Aug_16_1429,
nan,nan,110,0,53,53,53,m,0.183400154114,2016_Aug_16_1429,
1.0,Orange,110,0,54,54,54,m,0.359317064285,2016_Aug_16_1429,
8.0,DarkGray,110,0,55,55,55,m,0.271224021912,2016_Aug_16_1429,
6.0,Yellow,110,0,56,56,56,m,0.0151929855347,2016_Aug_16_1429,
9.0,LightPink,110,0,57,57,57,m,0.255419969559,2016_Aug_16_1429,
2.0,Brown,110,0,58,58,58,m,0.223340988159,2016_Aug_16_1429,
4.0,Blue,110,0,59,59,59,m,0.255051851273,2016_Aug_16_1429,
1.0,Red,110,0,60,60,60,m,0.0553359985352,2016_Aug_16_1429,
8.0,Green,110,0,61,61,61,m,0.279042959213,2016_Aug_16_1429,
nan,nan,110,0,62,62,62,z,0.447313070297,2016_Aug_16_1429,
6.0,Purple,110,0,63,63,63,m,0.310926914215,2016_Aug_16_1429,
9.0,Orange,110,0,64,64,64,m,0.343178033829,2016_Aug_16_1429,
2.0,DarkGray,110,0,65,65,65,m,0.206997871399,2016_Aug_16_1429,
4.0,Blue,110,0,66,66,66,m,0.119286060333,2016_Aug_16_1429,
5.0,Red,110,0,67,67,67,m,0.183022022247,2016_Aug_16_1429,
7.0,Green,110,0,68,68,68,m,0.031210899353,2016_Aug_16_1429,
3.0,Yellow,110,0,69,69,69,m,0.270936012268,2016_Aug_16_1429,
1.0,LightPink,110,0,70,70,70,m,0.279223918915,2016_Aug_16_1429,
8.0,Brown,110,0,71,71,71,m,0.0711410045624,2016_Aug_16_1429,
6.0,Blue,110,0,72,72,72,m,0.215022087097,2016_Aug_16_1429,
9.0,Red,110,0,73,73,73,m,0.295083999634,2016_Aug_16_1429,
2.0,Green,110,0,74,74,74,,,2016_Aug_16_1429,
4.0,Yellow,110,0,75,75,75,m,0.278782844543,2016_Aug_16_1429,
5.0,LightPink,110,0,76,76,76,m,0.0390820503235,2016_Aug_16_1429,
7.0,Brown,110,0,77,77,77,,,2016_Aug_16_1429,
3.0,Blue,110,0,78,78,78,m,0.318983793259,2016_Aug_16_1429,
9.0,Red,110,0,79,79,79,m,0.31094789505,2016_Aug_16_1429,
2.0,Green,110,0,80,80,80,m,0.0707240104675,2016_Aug_16_1429,
4.0,Purple,110,0,81,81,81,,,2016_Aug_16_1429,
5.0,Orange,110,0,82,82,82,m,0.375080823898,2016_Aug_16_1429,
7.0,DarkGray,110,0,83,83,83,m,0.103026151657,2016_Aug_16_1429,
3.0,Yellow,110,0,84,84,84,m,0.0950798988342,2016_Aug_16_1429,
9.0,LightPink,110,0,85,85,85,,,2016_Aug_16_1429,
2.0,Brown,110,0,86,86,86,m,0.390985965729,2016_Aug_16_1429,
4.0,Purple,110,0,87,87,87,m,0.175053119659,2016_Aug_16_1429,
1.0,Orange,110,0,88,88,88,,,2016_Aug_16_1429,
8.0,DarkGray,110,0,89,89,89,m,0.334980010986,2016_Aug_16_1429,
6.0,Blue,110,0,90,90,90,m,0.118668079376,2016_Aug_16_1429,
5.0,Red,110,0,91,91,91,m,0.046660900116,2016_Aug_16_1429,
7.0,Green,110,0,92,92,92,m,0.246771097183,2016_Aug_16_1429,
3.0,Purple,110,0,93,93,93,m,0.262648105621,2016_Aug_16_1429,
9.0,Orange,110,0,94,94,94,m,0.262791872025,2016_Aug_16_1429,
2.0,DarkGray,110,0,95,95,95,,,2016_Aug_16_1429,
4.0,Blue,110,0,96,96,96,m,0.254884004593,2016_Aug_16_1429,
nan,nan,110,0,97,97,97,z,0.366620063782,2016_Aug_16_1429,
1.0,Red,110,0,98,98,98,m,0.254456996918,2016_Aug_16_1429,
8.0,Green,110,0,99,99,99,m,0.0468018054962,2016_Aug_16_1429,
6.0,Purple,110,0,100,100,100,m,0.0467960834503,2016_Aug_16_1429,
5.0,Orange,110,0,101,101,101,,,2016_Aug_16_1429,
7.0,DarkGray,110,0,102,102,102,,,2016_Aug_16_1429,
3.0,Blue,110,0,103,103,103,m,0.462465047836,2016_Aug_16_1429,
9.0,Red,110,0,104,104,104,m,0.262396097183,2016_Aug_16_1429,
2.0,Green,110,0,105,105,105,m,0.0705549716949,2016_Aug_16_1429,
4.0,Purple,110,0,106,106,106,m,0.134762048721,2016_Aug_16_1429,
5.0,Orange,110,0,107,107,107,m,0.230652809143,2016_Aug_16_1429,
7.0,DarkGray,110,0,108,108,108,m,0.238684892654,2016_Aug_16_1429,
3.0,Yellow,110,0,109,109,109,m,0.254411935806,2016_Aug_16_1429,
9.0,LightPink,110,0,110,110,110,m,0.262479066849,2016_Aug_16_1429,
2.0,Brown,110,0,111,111,111,m,0.230713844299,2016_Aug_16_1429,
4.0,Purple,110,0,112,112,112,m,0.262655973434,2016_Aug_16_1429,
5.0,Orange,110,0,113,113,113,m,0.238440036774,2016_Aug_16_1429,
7.0,DarkGray,110,0,114,114,114,m,0.222700834274,2016_Aug_16_1429,
3.0,Yellow,110,0,115,115,115,m,0.25461602211,2016_Aug_16_1429,
9.0,LightPink,110,0,116,116,116,m,0.262433052063,2016_Aug_16_1429,
2.0,Brown,110,0,117,117,117,m,0.126616954803,2016_Aug_16_1429,
4.0,Purple,110,0,118,118,118,m,0.0783259868622,2016_Aug_16_1429,
1.0,Orange,110,0,119,119,119,,,2016_Aug_16_1429,
8.0,DarkGray,110,0,120,120,120,,,2016_Aug_16_1429,
6.0,Yellow,110,0,121,121,121,,,2016_Aug_16_1429,
5.0,LightPink,110,0,122,122,122,,,2016_Aug_16_1429,
7.0,Brown,110,0,123,123,123,,,2016_Aug_16_1429,
3.0,Blue,110,0,124,124,124,,,2016_Aug_16_1429,
9.0,Red,110,0,125,125,125,,,2016_Aug_16_1429,
nan,nan,110,0,126,126,126,z,0.51832485199,2016_Aug_16_1429,
2.0,Green,110,0,127,127,127,m,0.254533052444,2016_Aug_16_1429,
4.0,Yellow,110,0,128,128,128,m,0.126175165176,2016_Aug_16_1429,
5.0,LightPink,110,0,129,129,129,m,0.406172990799,2016_Aug_16_1429,
7.0,Brown,110,0,130,130,130,m,0.118205070496,2016_Aug_16_1429,
3.0,Purple,110,0,131,131,131,m,0.246395111084,2016_Aug_16_1429,
1.0,Orange,110,0,132,132,132,m,0.326131820679,2016_Aug_16_1429,
8.0,DarkGray,110,0,133,133,133,m,0.118102073669,2016_Aug_16_1429,
6.0,Blue,110,0,134,134,134,m,0.278037071228,2016_Aug_16_1429,
9.0,Red,110,0,135,135,135,m,0.526031970978,2016_Aug_16_1429,
2.0,Green,110,0,136,136,136,m,0.294116973877,2016_Aug_16_1429,
4.0,Yellow,110,0,137,137,137,m,0.55810213089,2016_Aug_16_1429,
