dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
nan,Blue,112,0,0,0,0,,,2016_Jul_15_1138,
1.0,Red,112,0,1,1,1,m,0.0358030796051,2016_Jul_15_1138,
8.0,Green,112,0,2,2,2,m,0.0521450042725,2016_Jul_15_1138,
6.0,Purple,112,0,3,3,3,m,0.556073188782,2016_Jul_15_1138,
9.0,Orange,112,0,4,4,4,m,0.372144937515,2016_Jul_15_1138,
nan,nan,112,0,5,5,5,z,0.540124177933,2016_Jul_15_1138,
2.0,DarkGray,112,0,6,6,6,m,0.427996873856,2016_Jul_15_1138,
4.0,Yellow,112,0,7,7,7,m,0.347975969315,2016_Jul_15_1138,
1.0,LightPink,112,0,8,8,8,m,0.35598897934,2016_Jul_15_1138,
8.0,Brown,112,0,9,9,9,m,0.323807001114,2016_Jul_15_1138,
6.0,Purple,112,0,10,10,10,m,0.299875020981,2016_Jul_15_1138,
9.0,Orange,112,0,11,11,11,m,0.283900976181,2016_Jul_15_1138,
2.0,DarkGray,112,0,12,12,12,m,0.364072084427,2016_Jul_15_1138,
4.0,Yellow,112,0,13,13,13,m,0.363768815994,2016_Jul_15_1138,
1.0,LightPink,112,0,14,14,14,m,0.299685001373,2016_Jul_15_1138,
8.0,Brown,112,0,15,15,15,m,0.259828090668,2016_Jul_15_1138,
6.0,Purple,112,0,16,16,16,m,0.292003154755,2016_Jul_15_1138,
9.0,Orange,112,0,17,17,17,m,0.284036159515,2016_Jul_15_1138,
2.0,DarkGray,112,0,18,18,18,m,0.459942817688,2016_Jul_15_1138,
4.0,Yellow,112,0,19,19,19,m,0.403608083725,2016_Jul_15_1138,
5.0,LightPink,112,0,20,20,20,m,0.307672977448,2016_Jul_15_1138,
7.0,Brown,112,0,21,21,21,m,0.275928020477,2016_Jul_15_1138,
3.0,Purple,112,0,22,22,22,m,0.275928974152,2016_Jul_15_1138,
9.0,Orange,112,0,23,23,23,m,0.283800125122,2016_Jul_15_1138,
2.0,DarkGray,112,0,24,24,24,m,0.411542892456,2016_Jul_15_1138,
4.0,Yellow,112,0,25,25,25,m,0.283879995346,2016_Jul_15_1138,
5.0,LightPink,112,0,26,26,26,m,0.371950149536,2016_Jul_15_1138,
7.0,Brown,112,0,27,27,27,m,0.363612174988,2016_Jul_15_1138,
3.0,Purple,112,0,28,28,28,m,0.25189781189,2016_Jul_15_1138,
1.0,Orange,112,0,29,29,29,m,0.259520053864,2016_Jul_15_1138,
8.0,DarkGray,112,0,30,30,30,m,0.227479934692,2016_Jul_15_1138,
6.0,Yellow,112,0,31,31,31,m,0.26739692688,2016_Jul_15_1138,
5.0,LightPink,112,0,32,32,32,m,0.235694885254,2016_Jul_15_1138,
7.0,Brown,112,0,33,33,33,m,0.235584020615,2016_Jul_15_1138,
3.0,Purple,112,0,34,34,34,m,0.267472028732,2016_Jul_15_1138,
1.0,Orange,112,0,35,35,35,m,0.323568105698,2016_Jul_15_1138,
8.0,DarkGray,112,0,36,36,36,m,0.459471940994,2016_Jul_15_1138,
nan,nan,112,0,37,37,37,z,0.499733924866,2016_Jul_15_1138,
6.0,Blue,112,0,38,38,38,,,2016_Jul_15_1138,
9.0,Red,112,0,39,39,39,m,0.0193450450897,2016_Jul_15_1138,
2.0,Green,112,0,40,40,40,m,0.323431968689,2016_Jul_15_1138,
4.0,Purple,112,0,41,41,41,m,0.291718006134,2016_Jul_15_1138,
nan,nan,112,0,42,42,42,m,0.115512132645,2016_Jul_15_1138,
5.0,Orange,112,0,43,43,43,m,0.443568944931,2016_Jul_15_1138,
7.0,DarkGray,112,0,44,44,44,m,0.371462106705,2016_Jul_15_1138,
nan,nan,112,0,45,45,45,z,0.443464040756,2016_Jul_15_1138,
3.0,Blue,112,0,46,46,46,m,0.42727804184,2016_Jul_15_1138,
1.0,Red,112,0,47,47,47,m,0.227358818054,2016_Jul_15_1138,
8.0,Green,112,0,48,48,48,m,0.283487081528,2016_Jul_15_1138,
6.0,Yellow,112,0,49,49,49,m,0.243607997894,2016_Jul_15_1138,
9.0,LightPink,112,0,50,50,50,m,0.227306842804,2016_Jul_15_1138,
2.0,Brown,112,0,51,51,51,m,0.275274991989,2016_Jul_15_1138,
4.0,Blue,112,0,52,52,52,m,0.0993680953979,2016_Jul_15_1138,
1.0,Red,112,0,53,53,53,m,0.235218048096,2016_Jul_15_1138,
8.0,Green,112,0,54,54,54,m,0.219176054001,2016_Jul_15_1138,
6.0,Purple,112,0,55,55,55,m,0.0831751823425,2016_Jul_15_1138,
nan,nan,112,0,56,56,56,z,0.451472043991,2016_Jul_15_1138,
5.0,Orange,112,0,57,57,57,m,0.371121883392,2016_Jul_15_1138,
7.0,DarkGray,112,0,58,58,58,m,0.595276832581,2016_Jul_15_1138,
3.0,Yellow,112,0,59,59,59,m,0.323464870453,2016_Jul_15_1138,
1.0,LightPink,112,0,60,60,60,m,0.299178123474,2016_Jul_15_1138,
8.0,Brown,112,0,61,61,61,m,0.243298053741,2016_Jul_15_1138,
6.0,Blue,112,0,62,62,62,,,2016_Jul_15_1138,
5.0,Red,112,0,63,63,63,m,0.283381938934,2016_Jul_15_1138,
7.0,Green,112,0,64,64,64,m,0.17141699791,2016_Jul_15_1138,
3.0,Yellow,112,0,65,65,65,m,0.427269935608,2016_Jul_15_1138,
1.0,LightPink,112,0,66,66,66,m,0.299263000488,2016_Jul_15_1138,
8.0,Brown,112,0,67,67,67,m,0.267056941986,2016_Jul_15_1138,
6.0,Blue,112,0,68,68,68,m,0.459028959274,2016_Jul_15_1138,
5.0,Red,112,0,69,69,69,m,0.307020902634,2016_Jul_15_1138,
7.0,Green,112,0,70,70,70,m,0.275087833405,2016_Jul_15_1138,
nan,nan,112,0,71,71,71,m,0.146937847137,2016_Jul_15_1138,
3.0,Purple,112,0,72,72,72,m,0.579223871231,2016_Jul_15_1138,
9.0,Orange,112,0,73,73,73,m,0.139121055603,2016_Jul_15_1138,
2.0,DarkGray,112,0,74,74,74,m,0.363126039505,2016_Jul_15_1138,
4.0,Yellow,112,0,75,75,75,m,0.242909908295,2016_Jul_15_1138,
5.0,LightPink,112,0,76,76,76,m,0.251235961914,2016_Jul_15_1138,
7.0,Brown,112,0,77,77,77,m,0.323011159897,2016_Jul_15_1138,
nan,nan,112,0,78,78,78,m,0.0987839698792,2016_Jul_15_1138,
3.0,Purple,112,0,79,79,79,m,0.458926916122,2016_Jul_15_1138,
9.0,Orange,112,0,80,80,80,m,0.147027015686,2016_Jul_15_1138,
2.0,DarkGray,112,0,81,81,81,m,0.0430960655212,2016_Jul_15_1138,
4.0,Yellow,112,0,82,82,82,m,0.290842056274,2016_Jul_15_1138,
5.0,LightPink,112,0,83,83,83,m,0.267050981522,2016_Jul_15_1138,
7.0,Brown,112,0,84,84,84,m,0.307013034821,2016_Jul_15_1138,
3.0,Blue,112,0,85,85,85,m,0.251111984253,2016_Jul_15_1138,
9.0,Red,112,0,86,86,86,m,0.258811950684,2016_Jul_15_1138,
2.0,Green,112,0,87,87,87,m,0.242672204971,2016_Jul_15_1138,
4.0,Purple,112,0,88,88,88,m,0.139145851135,2016_Jul_15_1138,
5.0,Orange,112,0,89,89,89,m,0.114694833755,2016_Jul_15_1138,
nan,nan,112,0,90,90,90,,,2016_Jul_15_1138,
7.0,DarkGray,112,0,91,91,91,m,0.56279706955,2016_Jul_15_1138,
3.0,Blue,112,0,92,92,92,m,0.146645069122,2016_Jul_15_1138,
1.0,Red,112,0,93,93,93,m,0.314788818359,2016_Jul_15_1138,
8.0,Green,112,0,94,94,94,m,0.0427911281586,2016_Jul_15_1138,
nan,nan,112,0,95,95,95,,,2016_Jul_15_1138,
6.0,Yellow,112,0,96,96,96,m,0.282822847366,2016_Jul_15_1138,
5.0,LightPink,112,0,97,97,97,,,2016_Jul_15_1138,
7.0,Brown,112,0,98,98,98,m,0.530602931976,2016_Jul_15_1138,
3.0,Purple,112,0,99,99,99,m,0.330863952637,2016_Jul_15_1138,
9.0,Orange,112,0,100,100,100,m,0.458649873734,2016_Jul_15_1138,
2.0,DarkGray,112,0,101,101,101,,,2016_Jul_15_1138,
4.0,Yellow,112,0,102,102,102,,,2016_Jul_15_1138,
1.0,LightPink,112,0,103,103,103,m,0.306562900543,2016_Jul_15_1138,
8.0,Brown,112,0,104,104,104,m,0.306740999222,2016_Jul_15_1138,
6.0,Blue,112,0,105,105,105,m,0.266694068909,2016_Jul_15_1138,
5.0,Red,112,0,106,106,106,m,0.234809875488,2016_Jul_15_1138,
7.0,Green,112,0,107,107,107,m,0.282370090485,2016_Jul_15_1138,
3.0,Purple,112,0,108,108,108,m,0.298743009567,2016_Jul_15_1138,
nan,nan,112,0,109,109,109,z,0.538546085358,2016_Jul_15_1138,
9.0,Orange,112,0,110,110,110,m,0.338775873184,2016_Jul_15_1138,
2.0,DarkGray,112,0,111,111,111,m,0.19446015358,2016_Jul_15_1138,
4.0,Blue,112,0,112,112,112,m,0.202414989471,2016_Jul_15_1138,
1.0,Red,112,0,113,113,113,m,0.27451300621,2016_Jul_15_1138,
8.0,Green,112,0,114,114,114,m,0.20271396637,2016_Jul_15_1138,
6.0,Purple,112,0,115,115,115,m,0.242597103119,2016_Jul_15_1138,
nan,nan,112,0,116,116,116,z,0.514420986176,2016_Jul_15_1138,
9.0,Orange,112,0,117,117,117,m,0.362290859222,2016_Jul_15_1138,
2.0,DarkGray,112,0,118,118,118,m,0.162405967712,2016_Jul_15_1138,
nan,nan,112,0,119,119,119,m,0.146644830704,2016_Jul_15_1138,
4.0,Blue,112,0,120,120,120,m,0.5302298069,2016_Jul_15_1138,
5.0,Red,112,0,121,121,121,m,0.266378164291,2016_Jul_15_1138,
7.0,Green,112,0,122,122,122,m,0.282492876053,2016_Jul_15_1138,
3.0,Yellow,112,0,123,123,123,m,0.23433303833,2016_Jul_15_1138,
9.0,LightPink,112,0,124,124,124,m,0.362519979477,2016_Jul_15_1138,
2.0,Brown,112,0,125,125,125,m,0.306201934814,2016_Jul_15_1138,
4.0,Purple,112,0,126,126,126,m,0.29817199707,2016_Jul_15_1138,
5.0,Orange,112,0,127,127,127,m,0.354300022125,2016_Jul_15_1138,
7.0,DarkGray,112,0,128,128,128,m,0.434278964996,2016_Jul_15_1138,
3.0,Yellow,112,0,129,129,129,m,0.338173151016,2016_Jul_15_1138,
9.0,LightPink,112,0,130,130,130,m,0.290521860123,2016_Jul_15_1138,
2.0,Brown,112,0,131,131,131,m,0.282337903976,2016_Jul_15_1138,
4.0,Purple,112,0,132,132,132,m,0.250407934189,2016_Jul_15_1138,
5.0,Orange,112,0,133,133,133,m,0.274086952209,2016_Jul_15_1138,
7.0,DarkGray,112,0,134,134,134,m,0.298261880875,2016_Jul_15_1138,
nan,nan,112,0,135,135,135,z,0.442097902298,2016_Jul_15_1138,
3.0,Blue,112,0,136,136,136,m,0.442365169525,2016_Jul_15_1138,
1.0,Red,112,0,137,137,137,m,0.178377866745,2016_Jul_15_1138,
8.0,Green,112,0,138,138,138,m,0.0661928653717,2016_Jul_15_1138,
6.0,Yellow,112,0,139,139,139,m,0.210129976273,2016_Jul_15_1138,
9.0,LightPink,112,0,140,140,140,m,0.170286893845,2016_Jul_15_1138,
nan,nan,112,0,141,141,141,m,0.162248134613,2016_Jul_15_1138,
2.0,Brown,112,0,142,142,142,m,0.322180986404,2016_Jul_15_1138,
4.0,Blue,112,0,143,143,143,m,0.0981018543243,2016_Jul_15_1138,
1.0,Red,112,0,144,144,144,,,2016_Jul_15_1138,
8.0,Green,112,0,145,145,145,m,0.00983190536499,2016_Jul_15_1138,
6.0,Purple,112,0,146,146,146,m,0.129885911942,2016_Jul_15_1138,
5.0,Orange,112,0,147,147,147,m,0.225829124451,2016_Jul_15_1138,
nan,nan,112,0,148,148,148,z,0.489941120148,2016_Jul_15_1138,
7.0,DarkGray,112,0,149,149,149,m,0.425679922104,2016_Jul_15_1138,
3.0,Blue,112,0,150,150,150,m,0.226111888885,2016_Jul_15_1138,
nan,nan,112,0,151,151,151,m,0.0580880641937,2016_Jul_15_1138,
9.0,Red,112,0,152,152,152,m,0.441701889038,2016_Jul_15_1138,
nan,nan,112,0,153,153,153,m,0.20981502533,2016_Jul_15_1138,
2.0,Green,112,0,154,154,154,m,0.290066957474,2016_Jul_15_1138,
4.0,Yellow,112,0,155,155,155,m,0.313923120499,2016_Jul_15_1138,
5.0,LightPink,112,0,156,156,156,m,0.305912971497,2016_Jul_15_1138,
7.0,Brown,112,0,157,157,157,m,0.337929964066,2016_Jul_15_1138,
3.0,Purple,112,0,158,158,158,m,0.401980876923,2016_Jul_15_1138,
1.0,Orange,112,0,159,159,159,m,0.361710071564,2016_Jul_15_1138,
8.0,DarkGray,112,0,160,160,160,m,0.577633857727,2016_Jul_15_1138,
6.0,Blue,112,0,161,161,161,,,2016_Jul_15_1138,
5.0,Red,112,0,162,162,162,m,0.425626993179,2016_Jul_15_1138,
7.0,Green,112,0,163,163,163,m,0.401967048645,2016_Jul_15_1138,
3.0,Purple,112,0,164,164,164,m,0.321974039078,2016_Jul_15_1138,
9.0,Orange,112,0,165,165,165,m,0.281980037689,2016_Jul_15_1138,
2.0,DarkGray,112,0,166,166,166,m,0.377532958984,2016_Jul_15_1138,
4.0,Yellow,112,0,167,167,167,m,0.305603981018,2016_Jul_15_1138,
1.0,LightPink,112,0,168,168,168,m,0.305603027344,2016_Jul_15_1138,
8.0,Brown,112,0,169,169,169,m,0.27383518219,2016_Jul_15_1138,
6.0,Blue,112,0,170,170,170,m,0.289459943771,2016_Jul_15_1138,
5.0,Red,112,0,171,171,171,m,0.321720123291,2016_Jul_15_1138,
7.0,Green,112,0,172,172,172,m,0.2895860672,2016_Jul_15_1138,
3.0,Yellow,112,0,173,173,173,m,0.249423980713,2016_Jul_15_1138,
9.0,LightPink,112,0,174,174,174,m,0.329480886459,2016_Jul_15_1138,
2.0,Brown,112,0,175,175,175,m,0.32951593399,2016_Jul_15_1138,
4.0,Purple,112,0,176,176,176,m,0.265857934952,2016_Jul_15_1138,
5.0,Orange,112,0,177,177,177,m,0.32136297226,2016_Jul_15_1138,
7.0,DarkGray,112,0,178,178,178,m,0.48948097229,2016_Jul_15_1138,
3.0,Yellow,112,0,179,179,179,m,0.393754005432,2016_Jul_15_1138,
1.0,LightPink,112,0,180,180,180,m,0.353642940521,2016_Jul_15_1138,
8.0,Brown,112,0,181,181,181,m,0.337630987167,2016_Jul_15_1138,
6.0,Purple,112,0,182,182,182,m,0.36142206192,2016_Jul_15_1138,
9.0,Orange,112,0,183,183,183,m,0.409455060959,2016_Jul_15_1138,
nan,nan,112,0,184,184,184,z,0.457679033279,2016_Jul_15_1138,
2.0,DarkGray,112,0,185,185,185,m,0.46538901329,2016_Jul_15_1138,
nan,nan,112,0,186,186,186,z,0.51328086853,2016_Jul_15_1138,
4.0,Yellow,112,0,187,187,187,m,0.37761592865,2016_Jul_15_1138,
1.0,LightPink,112,0,188,188,188,m,0.321387052536,2016_Jul_15_1138,
8.0,Brown,112,0,189,189,189,m,0.225612878799,2016_Jul_15_1138,
6.0,Blue,112,0,190,190,190,m,0.233345031738,2016_Jul_15_1138,
5.0,Red,112,0,191,191,191,m,0.297331094742,2016_Jul_15_1138,
7.0,Green,112,0,192,192,192,m,0.273527860641,2016_Jul_15_1138,
3.0,Purple,112,0,193,193,193,m,0.321360826492,2016_Jul_15_1138,
1.0,Orange,112,0,194,194,194,m,0.361084938049,2016_Jul_15_1138,
8.0,DarkGray,112,0,195,195,195,m,0.409481048584,2016_Jul_15_1138,
6.0,Blue,112,0,196,196,196,m,0.425252914429,2016_Jul_15_1138,
5.0,Red,112,0,197,197,197,m,0.489103078842,2016_Jul_15_1138,
7.0,Green,112,0,198,198,198,m,0.433336019516,2016_Jul_15_1138,
