,d1,d2,d3,c1,c2,c3,participant
0,1,8,6,Purple,Orange,Gray,9
1,5,7,3,Yellow,Pink,Brown,9
2,1,8,6,Purple,Orange,Gray,9
3,9,2,4,Yellow,Pink,Brown,9
4,1,8,6,Purple,Orange,Gray,9
5,9,2,4,Blue,Red,Green,9
6,5,7,3,Yellow,Pink,Brown,9
7,1,8,6,Blue,Red,Green,9
8,5,7,3,Purple,Orange,Gray,9
9,1,8,6,Yellow,Pink,Brown,9
10,5,7,3,Blue,Red,Green,9
11,9,2,4,Purple,Orange,Gray,9
12,1,8,6,Blue,Red,Green,9
13,9,2,4,Purple,Orange,Gray,9
14,1,8,6,Yellow,Pink,Brown,9
15,9,2,4,Purple,Orange,Gray,9
16,1,8,6,Blue,Red,Green,9
17,5,7,3,Purple,Orange,Gray,9
18,9,2,4,Blue,Red,Green,9
19,5,7,3,Yellow,Pink,Brown,9
20,1,8,6,Purple,Orange,Gray,9
21,5,7,3,Blue,Red,Green,9
22,1,8,6,Purple,Orange,Gray,9
23,5,7,3,Yellow,Pink,Brown,9
24,9,2,4,Purple,Orange,Gray,9
25,1,8,6,Yellow,Pink,Brown,9
26,9,2,4,Blue,Red,Green,9
27,1,8,6,Yellow,Pink,Brown,9
28,9,2,4,Purple,Orange,Gray,9
29,5,7,3,Yellow,Pink,Brown,9
30,9,2,4,Blue,Red,Green,9
31,1,8,6,Yellow,Pink,Brown,9
32,5,7,3,Blue,Red,Green,9
33,1,8,6,Yellow,Pink,Brown,9
34,9,2,4,Purple,Orange,Gray,9
35,1,8,6,Yellow,Pink,Brown,9
36,5,7,3,Purple,Orange,Gray,9
37,9,2,4,Blue,Red,Green,9
38,5,7,3,Yellow,Pink,Brown,9
39,1,8,6,Blue,Red,Green,9
40,9,2,4,Purple,Orange,Gray,9
41,1,8,6,Yellow,Pink,Brown,9
42,5,7,3,Blue,Red,Green,9
43,1,8,6,Purple,Orange,Gray,9
44,9,2,4,Yellow,Pink,Brown,9
45,5,7,3,Blue,Red,Green,9
46,1,8,6,Purple,Orange,Gray,9
47,9,2,4,Blue,Red,Green,9
48,5,7,3,Yellow,Pink,Brown,9
49,1,8,6,Purple,Orange,Gray,9
50,5,7,3,Yellow,Pink,Brown,9
51,9,2,4,Purple,Orange,Gray,9
52,1,8,6,Blue,Red,Green,9
53,5,7,3,Purple,Orange,Gray,9
54,9,2,4,Blue,Red,Green,9
55,5,7,3,Yellow,Pink,Brown,9
56,9,2,4,Purple,Orange,Gray,9
57,1,8,6,Blue,Red,Green,9
58,9,2,4,Purple,Orange,Gray,9
59,1,8,6,Yellow,Pink,Brown,9
60,9,2,4,Purple,Orange,Gray,9
61,5,7,3,Blue,Red,Green,9
62,9,2,4,Yellow,Pink,Brown,9
63,5,7,3,Blue,Red,Green,9
64,1,8,6,Purple,Orange,Gray,9
65,9,2,4,Blue,Red,Green,9
66,5,7,3,Yellow,Pink,Brown,9
67,9,2,4,Purple,Orange,Gray,9
68,5,7,3,Yellow,Pink,Brown,9
69,1,8,6,Purple,Orange,Gray,9
70,9,2,4,Blue,Red,Green,9
71,1,8,6,Purple,Orange,Gray,9
72,5,7,3,Blue,Red,Green,9
73,1,8,6,Purple,Orange,Gray,9
74,9,2,4,Blue,Red,Green,9
75,5,7,3,Purple,Orange,Gray,9
76,1,8,6,Yellow,Pink,Brown,9
77,5,7,3,Blue,Red,Green,9
78,1,8,6,Yellow,Pink,Brown,9
79,9,2,4,Purple,Orange,Gray,9
80,5,7,3,Yellow,Pink,Brown,9
81,9,2,4,Purple,Orange,Gray,9
82,5,7,3,Blue,Red,Green,9
83,1,8,6,Purple,Orange,Gray,9
84,9,2,4,Yellow,Pink,Brown,9
85,1,8,6,Purple,Orange,Gray,9
86,9,2,4,Blue,Red,Green,9
87,1,8,6,Yellow,Pink,Brown,9
88,5,7,3,Blue,Red,Green,9
89,1,8,6,Purple,Orange,Gray,9
90,9,2,4,Yellow,Pink,Brown,9
91,5,7,3,Purple,Orange,Gray,9
92,9,2,4,Yellow,Pink,Brown,9
93,5,7,3,Blue,Red,Green,9
94,1,8,6,Purple,Orange,Gray,9
95,5,7,3,Yellow,Pink,Brown,9
96,9,2,4,Purple,Orange,Gray,9
97,1,8,6,Yellow,Pink,Brown,9
98,9,2,4,Blue,Red,Green,9
99,1,8,6,Yellow,Pink,Brown,9
100,9,2,4,Blue,Red,Green,9
101,1,8,6,Yellow,Pink,Brown,9
102,5,7,3,Purple,Orange,Gray,9
103,1,8,6,Blue,Red,Green,9
104,5,7,3,Yellow,Pink,Brown,9
105,1,8,6,Blue,Red,Green,9
106,5,7,3,Yellow,Pink,Brown,9
107,1,8,6,Blue,Red,Green,9
108,9,2,4,Yellow,Pink,Brown,9
109,5,7,3,Blue,Red,Green,9
110,1,8,6,Yellow,Pink,Brown,9
111,9,2,4,Purple,Orange,Gray,9
112,5,7,3,Blue,Red,Green,9
113,9,2,4,Yellow,Pink,Brown,9
114,5,7,3,Blue,Red,Green,9
115,9,2,4,Yellow,Pink,Brown,9
116,5,7,3,Purple,Orange,Gray,9
117,1,8,6,Blue,Red,Green,9
