dot_values,colour_values,participant
,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
9.0,Orange,10
,,10
2.0,DarkGray,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Blue,10
,,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
,,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
,,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
,,10
9.0,LightPink,10
2.0,Brown,10
4.0,Purple,10
1.0,Orange,10
,,10
8.0,DarkGray,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Blue,10
,,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
,,10
5.0,LightPink,10
7.0,Brown,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Yellow,10
,,10
9.0,LightPink,10
2.0,Brown,10
4.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
5.0,LightPink,10
,,10
7.0,Brown,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
,,10
9.0,LightPink,10
2.0,Brown,10
4.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
,,10
1.0,LightPink,10
8.0,Brown,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
9.0,Orange,10
,,10
2.0,DarkGray,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
,,10
3.0,Yellow,10
9.0,LightPink,10
,,10
2.0,Brown,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Yellow,10
5.0,LightPink,10
,,10
7.0,Brown,10
3.0,Blue,10
9.0,Red,10
,,10
2.0,Green,10
4.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
,,10
5.0,LightPink,10
7.0,Brown,10
3.0,Blue,10
,,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
,,10
5.0,Orange,10
,,10
7.0,DarkGray,10
3.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
1.0,LightPink,10
,,10
8.0,Brown,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
,,10
4.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
,,10
3.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
,,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
1.0,Red,10
,,10
8.0,Green,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Yellow,10
,,10
1.0,LightPink,10
,,10
8.0,Brown,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Yellow,10
,,10
1.0,LightPink,10
8.0,Brown,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
,,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
,,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Purple,10
9.0,Orange,10
,,10
2.0,DarkGray,10
4.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,Blue,10
1.0,Red,10
,,10
8.0,Green,10
6.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Blue,10
1.0,Red,10
,,10
8.0,Green,10
6.0,Purple,10
,,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
1.0,LightPink,10
,,10
8.0,Brown,10
6.0,Blue,10
9.0,Red,10
2.0,Green,10
4.0,Purple,10
,,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
1.0,LightPink,10
8.0,Brown,10
6.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
1.0,Red,10
8.0,Green,10
6.0,Purple,10
,,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Yellow,10
,,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Yellow,10
5.0,LightPink,10
7.0,Brown,10
3.0,Purple,10
1.0,Orange,10
8.0,DarkGray,10
6.0,Blue,10
5.0,Red,10
7.0,Green,10
,,10
3.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
5.0,Red,10
7.0,Green,10
3.0,Purple,10
9.0,Orange,10
2.0,DarkGray,10
4.0,Blue,10
,,10
1.0,Red,10
,,10
8.0,Green,10
6.0,Purple,10
5.0,Orange,10
7.0,DarkGray,10
3.0,Yellow,10
9.0,LightPink,10
2.0,Brown,10
4.0,,10
