dot_values,colour_values,participant
,Purple,102
9.0,Orange,102
2.0,DarkGray,102
4.0,Blue,102
,,102
5.0,Red,102
7.0,Green,102
3.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Purple,102
9.0,Orange,102
2.0,DarkGray,102
,,102
4.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Purple,102
,,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Blue,102
9.0,Red,102
,,102
2.0,Green,102
4.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Yellow,102
9.0,LightPink,102
2.0,Brown,102
,,102
4.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Blue,102
9.0,Red,102
2.0,Green,102
,,102
4.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Blue,102
1.0,Red,102
,,102
8.0,Green,102
6.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Blue,102
9.0,Red,102
2.0,Green,102
4.0,Yellow,102
5.0,LightPink,102
,,102
7.0,Brown,102
3.0,Purple,102
1.0,Orange,102
,,102
8.0,DarkGray,102
6.0,Blue,102
9.0,Red,102
2.0,Green,102
4.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Yellow,102
,,102
9.0,LightPink,102
2.0,Brown,102
4.0,Blue,102
1.0,Red,102
8.0,Green,102
6.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Yellow,102
,,102
9.0,LightPink,102
2.0,Brown,102
4.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Blue,102
1.0,Red,102
8.0,Green,102
6.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Purple,102
9.0,Orange,102
,,102
2.0,DarkGray,102
4.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Blue,102
9.0,Red,102
2.0,Green,102
4.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Purple,102
1.0,Orange,102
,,102
8.0,DarkGray,102
6.0,Blue,102
9.0,Red,102
,,102
2.0,Green,102
,,102
4.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Blue,102
9.0,Red,102
,,102
2.0,Green,102
4.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Blue,102
1.0,Red,102
8.0,Green,102
6.0,Purple,102
5.0,Orange,102
7.0,DarkGray,102
3.0,Yellow,102
,,102
9.0,LightPink,102
2.0,Brown,102
4.0,Purple,102
,,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Blue,102
5.0,Red,102
,,102
7.0,Green,102
3.0,Yellow,102
9.0,LightPink,102
2.0,Brown,102
4.0,Blue,102
,,102
5.0,Red,102
,,102
7.0,Green,102
3.0,Purple,102
9.0,Orange,102
2.0,DarkGray,102
4.0,Yellow,102
,,102
1.0,LightPink,102
8.0,Brown,102
6.0,Blue,102
5.0,Red,102
7.0,Green,102
3.0,Purple,102
9.0,Orange,102
,,102
2.0,DarkGray,102
4.0,Yellow,102
1.0,LightPink,102
8.0,Brown,102
6.0,Blue,102
,,102
5.0,Red,102
7.0,Green,102
,,102
3.0,Yellow,102
9.0,LightPink,102
2.0,Brown,102
,,102
4.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
6.0,Blue,102
5.0,Red,102
7.0,Green,102
,,102
3.0,Purple,102
1.0,Orange,102
8.0,DarkGray,102
,,102
6.0,Yellow,102
5.0,LightPink,102
7.0,Brown,102
3.0,Blue,102
9.0,Red,102
,,102
2.0,Green,102
4.0,Purple,102
