dot_values,colour_values,participant
,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
1.0,Red,1
8.0,Green,1
6.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
9.0,Orange,1
,,1
2.0,DarkGray,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
,,1
5.0,Red,1
7.0,Green,1
3.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Blue,1
1.0,Red,1
,,1
8.0,Green,1
6.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
,,1
3.0,Yellow,1
1.0,LightPink,1
,,1
8.0,Brown,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
1.0,LightPink,1
,,1
8.0,Brown,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
9.0,LightPink,1
,,1
2.0,Brown,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
,,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Blue,1
1.0,Red,1
8.0,Green,1
6.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Purple,1
5.0,Orange,1
,,1
7.0,DarkGray,1
3.0,Blue,1
1.0,Red,1
,,1
8.0,Green,1
6.0,Yellow,1
9.0,LightPink,1
,,1
2.0,Brown,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Blue,1
1.0,Red,1
8.0,Green,1
6.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Blue,1
1.0,Red,1
,,1
8.0,Green,1
,,1
6.0,Purple,1
,,1
9.0,Orange,1
2.0,DarkGray,1
,,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
,,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
,,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
9.0,Red,1
,,1
2.0,Green,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
,,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
5.0,Red,1
,,1
7.0,Green,1
,,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Blue,1
1.0,Red,1
8.0,Green,1
6.0,Yellow,1
,,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
,,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
,,1
8.0,DarkGray,1
6.0,Blue,1
,,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
,,1
1.0,Orange,1
,,1
8.0,DarkGray,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
9.0,Orange,1
,,1
2.0,DarkGray,1
4.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
,,1
8.0,DarkGray,1
6.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
9.0,LightPink,1
,,1
2.0,Brown,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
6.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
3.0,Blue,1
,,1
9.0,Red,1
2.0,Green,1
4.0,Purple,1
5.0,Orange,1
7.0,DarkGray,1
,,1
3.0,Blue,1
1.0,Red,1
8.0,Green,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
,,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
,,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Yellow,1
,,1
9.0,LightPink,1
2.0,Brown,1
4.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
,,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Yellow,1
,,1
5.0,LightPink,1
7.0,Brown,1
3.0,Blue,1
9.0,Red,1
2.0,Green,1
4.0,Yellow,1
1.0,LightPink,1
8.0,Brown,1
,,1
6.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Blue,1
,,1
1.0,Red,1
,,1
8.0,Green,1
6.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Blue,1
,,1
5.0,Red,1
,,1
7.0,Green,1
,,1
3.0,Yellow,1
9.0,LightPink,1
2.0,Brown,1
4.0,Blue,1
5.0,Red,1
7.0,Green,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
5.0,LightPink,1
7.0,Brown,1
,,1
3.0,Purple,1
9.0,Orange,1
2.0,DarkGray,1
4.0,Yellow,1
5.0,LightPink,1
,,1
7.0,Brown,1
3.0,Purple,1
1.0,Orange,1
8.0,DarkGray,1
6.0,Yellow,1
5.0,LightPink,1
,,1
7.0,Brown,1
3.0,,1
