,d1,d2,d3,c1,c2,c3,participant
0,5.0,7.0,3.0,Purple,Orange,Gray,8
1,,,,,,,8
2,1.0,8.0,6.0,Blue,Red,Green,8
3,5.0,7.0,3.0,Purple,Orange,Gray,8
4,9.0,2.0,4.0,Blue,Red,Green,8
5,,,,,,,8
6,1.0,8.0,6.0,Yellow,Pink,Brown,8
7,5.0,7.0,3.0,Purple,Orange,Gray,8
8,1.0,8.0,6.0,Blue,Red,Green,8
9,9.0,2.0,4.0,Yellow,Pink,Brown,8
10,1.0,8.0,6.0,Blue,Red,Green,8
11,5.0,7.0,3.0,Yellow,Pink,Brown,8
12,1.0,8.0,6.0,Blue,Red,Green,8
13,9.0,2.0,4.0,Purple,Orange,Gray,8
14,1.0,8.0,6.0,Blue,Red,Green,8
15,5.0,7.0,3.0,Yellow,Pink,Brown,8
16,1.0,8.0,6.0,Purple,Orange,Gray,8
17,9.0,2.0,4.0,Yellow,Pink,Brown,8
18,5.0,7.0,3.0,Blue,Red,Green,8
19,1.0,8.0,6.0,Purple,Orange,Gray,8
20,9.0,2.0,4.0,Yellow,Pink,Brown,8
21,5.0,7.0,3.0,Purple,Orange,Gray,8
22,9.0,2.0,4.0,Blue,Red,Green,8
23,1.0,8.0,6.0,Purple,Orange,Gray,8
24,9.0,2.0,4.0,Blue,Red,Green,8
25,5.0,7.0,3.0,Purple,Orange,Gray,8
26,,,,,,,8
27,1.0,8.0,6.0,Yellow,Pink,Brown,8
28,5.0,7.0,3.0,Purple,Orange,Gray,8
29,9.0,2.0,4.0,Blue,Red,Green,8
30,1.0,8.0,6.0,Yellow,Pink,Brown,8
31,5.0,7.0,3.0,Blue,Red,Green,8
32,9.0,2.0,4.0,Purple,Orange,Gray,8
33,1.0,8.0,6.0,Yellow,Pink,Brown,8
34,9.0,2.0,4.0,Purple,Orange,Gray,8
35,5.0,7.0,3.0,Blue,Red,Green,8
36,9.0,2.0,4.0,Yellow,Pink,Brown,8
37,1.0,8.0,6.0,Blue,Red,Green,8
38,9.0,2.0,4.0,Purple,Orange,Gray,8
39,1.0,8.0,6.0,Yellow,Pink,Brown,8
40,9.0,2.0,4.0,Purple,Orange,Gray,8
41,1.0,8.0,6.0,Yellow,Pink,Brown,8
42,5.0,7.0,3.0,Blue,Red,Green,8
43,1.0,8.0,6.0,Yellow,Pink,Brown,8
44,9.0,2.0,4.0,Blue,Red,Green,8
45,5.0,7.0,3.0,Purple,Orange,Gray,8
46,9.0,2.0,4.0,Blue,Red,Green,8
47,5.0,7.0,3.0,Purple,Orange,Gray,8
48,9.0,2.0,4.0,Yellow,Pink,Brown,8
49,1.0,8.0,6.0,Blue,Red,Green,8
50,5.0,7.0,3.0,Yellow,Pink,Brown,8
51,1.0,8.0,6.0,Blue,Red,Green,8
52,9.0,2.0,4.0,Purple,Orange,Gray,8
53,5.0,7.0,3.0,Yellow,Pink,Brown,8
54,,,,,,,8
55,1.0,8.0,6.0,Blue,Red,Green,8
56,5.0,7.0,3.0,Purple,Orange,Gray,8
57,9.0,2.0,4.0,Yellow,Pink,Brown,8
58,1.0,8.0,6.0,Blue,Red,Green,8
59,9.0,2.0,4.0,Purple,Orange,Gray,8
60,1.0,8.0,6.0,Blue,Red,Green,8
61,5.0,7.0,3.0,Purple,Orange,Gray,8
62,1.0,8.0,6.0,Yellow,Pink,Brown,8
63,9.0,2.0,4.0,Blue,Red,Green,8
64,5.0,7.0,3.0,Yellow,Pink,Brown,8
65,9.0,2.0,4.0,Purple,Orange,Gray,8
66,1.0,8.0,6.0,Blue,Red,Green,8
67,5.0,7.0,3.0,Yellow,Pink,Brown,8
68,1.0,8.0,6.0,Purple,Orange,Gray,8
69,5.0,7.0,3.0,Blue,Red,Green,8
70,9.0,2.0,4.0,Purple,Orange,Gray,8
71,5.0,7.0,3.0,Blue,Red,Green,8
72,9.0,2.0,4.0,Yellow,Pink,Brown,8
73,5.0,7.0,3.0,Blue,Red,Green,8
74,9.0,2.0,4.0,Yellow,Pink,Brown,8
75,5.0,7.0,3.0,Purple,Orange,Gray,8
76,9.0,2.0,4.0,Yellow,Pink,Brown,8
77,5.0,7.0,3.0,Purple,Orange,Gray,8
78,1.0,8.0,6.0,Blue,Red,Green,8
79,5.0,7.0,3.0,Purple,Orange,Gray,8
80,9.0,2.0,4.0,Yellow,Pink,Brown,8
81,,,,,,,8
82,5.0,7.0,3.0,Purple,Orange,Gray,8
83,9.0,2.0,4.0,Blue,Red,Green,8
84,5.0,7.0,3.0,Purple,Orange,Gray,8
85,9.0,2.0,4.0,Blue,Red,Green,8
86,5.0,7.0,3.0,Yellow,Pink,Brown,8
87,9.0,2.0,4.0,Purple,Orange,Gray,8
88,,,,,,,8
89,1.0,8.0,6.0,Yellow,Pink,Brown,8
90,5.0,7.0,3.0,Purple,Orange,Gray,8
91,1.0,8.0,6.0,Blue,Red,Green,8
92,9.0,2.0,4.0,Purple,Orange,Gray,8
93,5.0,7.0,3.0,Yellow,Pink,Brown,8
94,9.0,2.0,4.0,Blue,Red,Green,8
95,1.0,8.0,6.0,Yellow,Pink,Brown,8
96,5.0,7.0,3.0,Purple,Orange,Gray,8
97,1.0,8.0,6.0,Blue,Red,Green,8
98,5.0,7.0,3.0,Yellow,Pink,Brown,8
99,9.0,2.0,4.0,Blue,Red,Green,8
100,1.0,8.0,6.0,Purple,Orange,Gray,8
101,9.0,2.0,4.0,Blue,Red,Green,8
102,5.0,7.0,3.0,Purple,Orange,Gray,8
103,1.0,8.0,6.0,Blue,Red,Green,8
104,9.0,2.0,4.0,Yellow,Pink,Brown,8
105,1.0,8.0,6.0,Blue,Red,Green,8
106,5.0,7.0,3.0,Purple,Orange,Gray,8
107,,,,,,,8
108,9.0,2.0,4.0,Yellow,Pink,Brown,8
109,1.0,8.0,6.0,Blue,Red,Green,8
110,5.0,7.0,3.0,Yellow,Pink,Brown,8
111,1.0,8.0,6.0,Blue,Red,Green,8
112,9.0,2.0,4.0,Purple,Orange,Gray,8
113,,,,,,,8
114,1.0,8.0,6.0,Yellow,Pink,Brown,8
115,9.0,2.0,4.0,Blue,Red,Green,8
116,5.0,7.0,3.0,Yellow,Pink,Brown,8
117,9.0,2.0,4.0,Purple,Orange,Gray,8
118,,,,,,,8
119,1.0,8.0,6.0,Yellow,Pink,Brown,8
120,5.0,7.0,3.0,Blue,Red,Green,8
121,9.0,2.0,4.0,Yellow,Pink,Brown,8
122,5.0,7.0,3.0,Purple,Orange,Gray,8
123,1.0,8.0,6.0,Yellow,Pink,Brown,8
124,9.0,2.0,4.0,Purple,Orange,Gray,8
125,1.0,8.0,6.0,Blue,Red,Green,8
126,9.0,2.0,4.0,Yellow,Pink,Brown,8
127,,,,,,,8
128,5.0,7.0,3.0,Purple,Orange,Gray,8
129,,,,,,,8
130,9.0,2.0,4.0,Yellow,Pink,Brown,8
131,1.0,8.0,6.0,Blue,Red,Green,8
132,5.0,7.0,3.0,Yellow,Pink,Brown,8
133,9.0,2.0,4.0,Blue,Red,Green,8
134,1.0,8.0,6.0,Purple,Orange,Gray,8
135,9.0,2.0,4.0,Yellow,Pink,Brown,8
136,1.0,8.0,6.0,Purple,Orange,Gray,8
137,5.0,7.0,3.0,Blue,Red,Green,8
138,1.0,8.0,6.0,Yellow,Pink,Brown,8
139,5.0,7.0,3.0,Blue,Red,Green,8
140,,,,,,,8
141,1.0,8.0,6.0,Yellow,Pink,Brown,8
142,5.0,7.0,3.0,Purple,Orange,Gray,8
143,1.0,8.0,6.0,Yellow,Pink,Brown,8
144,5.0,7.0,3.0,Purple,Orange,Gray,8
145,9.0,2.0,4.0,Yellow,Pink,Brown,8
146,1.0,8.0,6.0,Purple,Orange,Gray,8
