dot_values,colour_values,participant
,Purple,7
9.0,Orange,7
2.0,DarkGray,7
4.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
,,7
6.0,Blue,7
5.0,Red,7
7.0,Green,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
,,7
6.0,Blue,7
5.0,Red,7
,,7
7.0,Green,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
,,7
6.0,Blue,7
9.0,Red,7
2.0,Green,7
,,7
4.0,Yellow,7
5.0,Pink,7
7.0,Brown,7
3.0,Blue,7
9.0,Red,7
2.0,Green,7
,,7
4.0,Purple,7
1.0,Orange,7
8.0,DarkGray,7
,,7
6.0,Blue,7
5.0,Red,7
7.0,Green,7
3.0,Purple,7
1.0,Orange,7
8.0,DarkGray,7
6.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
4.0,Purple,7
1.0,Orange,7
8.0,DarkGray,7
6.0,Blue,7
5.0,Red,7
7.0,Green,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
,,7
6.0,Purple,7
5.0,Orange,7
7.0,DarkGray,7
,,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
6.0,Blue,7
5.0,Red,7
7.0,Green,7
3.0,Purple,7
,,7
1.0,Orange,7
,,7
8.0,DarkGray,7
6.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
4.0,Blue,7
5.0,Red,7
7.0,Green,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
6.0,Purple,7
5.0,Orange,7
7.0,DarkGray,7
3.0,Yellow,7
1.0,Pink,7
8.0,Brown,7
6.0,Purple,7
5.0,Orange,7
7.0,DarkGray,7
3.0,Blue,7
9.0,Red,7
2.0,Green,7
4.0,Yellow,7
5.0,Pink,7
,,7
7.0,Brown,7
3.0,Blue,7
1.0,Red,7
8.0,Green,7
6.0,Purple,7
,,7
5.0,Orange,7
7.0,DarkGray,7
3.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
4.0,Blue,7
,,7
1.0,Red,7
8.0,Green,7
,,7
6.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
4.0,Purple,7
5.0,Orange,7
7.0,DarkGray,7
3.0,Blue,7
1.0,Red,7
8.0,Green,7
6.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
4.0,Purple,7
1.0,Orange,7
8.0,DarkGray,7
6.0,Yellow,7
5.0,Pink,7
7.0,Brown,7
3.0,Blue,7
1.0,Red,7
,,7
8.0,Green,7
,,7
6.0,Purple,7
5.0,Orange,7
,,7
7.0,DarkGray,7
3.0,Yellow,7
9.0,Pink,7
2.0,Brown,7
,,7
4.0,Blue,7
5.0,Red,7
7.0,Green,7
